,exp,split,Model,seed,dataset,micro_roc,micro_auprc,rand
0,ref,random,CNN,42,twosides,0.8704256654719092,0.40325137230563296,40
1,Rand. SMILES,random,CNN,42,twosides,0.835571317134032,0.32736686951087235,40
2,ref,random,CNN,42,drugbank,0.9989525566840012,0.952988630401348,40
3,Rand. SMILES,random,CNN,42,drugbank,0.9946976512395508,0.7536131005776104,40
4,ref,leave_drugs_out (test_set 1),CNN,42,twosides,0.8003542881305054,0.2482140446293527,100
5,Rand. SMILES,leave_drugs_out (test_set 1),CNN,42,twosides,0.7724644422825472,0.20936462838349576,100
6,ref,leave_drugs_out (test_set 2),CNN,42,twosides,0.7530685097493142,0.20299989281948436,100
7,Rand. SMILES,leave_drugs_out (test_set 2),CNN,42,twosides,0.7515058814545489,0.18867421249859656,100
8,ref,random,CNN,42,twosides,0.8704256654719092,0.40325137230563296,100
9,Rand. SMILES,random,CNN,42,twosides,0.8232990336746512,0.3048441942570498,100
10,ref,leave_drugs_out (test_set 1),CNN,42,drugbank,0.9811981745411896,0.6337312573062006,20
11,Rand. SMILES,leave_drugs_out (test_set 1),CNN,42,drugbank,0.9659662459540144,0.55052753924116,20
12,ref,leave_drugs_out (test_set 2),CNN,42,drugbank,0.9219166975863003,0.3450360628926611,20
13,Rand. SMILES,leave_drugs_out (test_set 2),CNN,42,drugbank,0.9192130493245066,0.3180756346266205,20
14,ref,leave_drugs_out (test_set 1),CNN,42,drugbank,0.9811981745411896,0.6337312573062006,100
15,Rand. SMILES,leave_drugs_out (test_set 1),CNN,42,drugbank,0.9592825529123074,0.44056884142977343,100
16,ref,leave_drugs_out (test_set 2),CNN,42,drugbank,0.9219166975863003,0.3450360628926611,100
17,Rand. SMILES,leave_drugs_out (test_set 2),CNN,42,drugbank,0.9268086887832762,0.2704549786392542,100
18,ref,random,CNN,42,drugbank,0.9989525566840012,0.952988630401348,80
19,Rand. SMILES,random,CNN,42,drugbank,0.9916842746078924,0.6852112507381434,80
20,ref,leave_drugs_out (test_set 1),CNN,42,drugbank,0.9811981745411896,0.6337312573062006,40
21,Rand. SMILES,leave_drugs_out (test_set 1),CNN,42,drugbank,0.9605121988881438,0.5084549091799548,40
22,ref,leave_drugs_out (test_set 2),CNN,42,drugbank,0.9219166975863003,0.3450360628926611,40
23,Rand. SMILES,leave_drugs_out (test_set 2),CNN,42,drugbank,0.9202779631503396,0.3018687217803377,40
24,ref,random,CNN,42,twosides,0.8704256654719092,0.40325137230563296,20
25,Rand. SMILES,random,CNN,42,twosides,0.8000939715517681,0.27034698815498426,20
