,split,Frequence (%),Metric name,Scores,D,M
0,leave_drugs_out (test_set 1),1,AUPRC,0.30816792117776,twosides-NOSYN,AUPRC
1,leave_drugs_out (test_set 1),1,AUPRC,0.1881795238459537,twosides-NOSYN,AUPRC
2,leave_drugs_out (test_set 1),1,AUPRC,0.035718637964970726,twosides-NOSYN,AUPRC
3,leave_drugs_out (test_set 1),1,AUPRC,0.18235766196421913,twosides-NOSYN,AUPRC
4,leave_drugs_out (test_set 1),1,AUPRC,0.10487592165905044,twosides-NOSYN,AUPRC
5,leave_drugs_out (test_set 1),1,AUPRC,0.3515689480568298,twosides-NOSYN,AUPRC
6,leave_drugs_out (test_set 1),1,AUPRC,0.2677228587260096,twosides-NOSYN,AUPRC
7,leave_drugs_out (test_set 1),1,AUPRC,0.3693591246905019,twosides-NOSYN,AUPRC
8,leave_drugs_out (test_set 1),1,AUPRC,0.04424627467849992,twosides-NOSYN,AUPRC
9,leave_drugs_out (test_set 1),1,AUPRC,0.3566201696003706,twosides-NOSYN,AUPRC
10,leave_drugs_out (test_set 1),1,AUPRC,0.3271798990625067,twosides-NOSYN,AUPRC
11,leave_drugs_out (test_set 1),1,AUPRC,0.4313500188923459,twosides-NOSYN,AUPRC
12,leave_drugs_out (test_set 1),1,AUPRC,0.41451591248347264,twosides-NOSYN,AUPRC
13,leave_drugs_out (test_set 1),1,AUPRC,0.14730445085758445,twosides-NOSYN,AUPRC
14,leave_drugs_out (test_set 1),1,AUPRC,0.1880286430535442,twosides-NOSYN,AUPRC
15,leave_drugs_out (test_set 1),1,AUPRC,0.2828487770056407,twosides-NOSYN,AUPRC
16,leave_drugs_out (test_set 1),1,AUPRC,0.1244461315587698,twosides-NOSYN,AUPRC
17,leave_drugs_out (test_set 1),1,AUPRC,0.1252217770721522,twosides-NOSYN,AUPRC
18,leave_drugs_out (test_set 1),1,AUPRC,0.20235873119671988,twosides-NOSYN,AUPRC
19,leave_drugs_out (test_set 1),1,AUPRC,0.3719173518368213,twosides-NOSYN,AUPRC
20,leave_drugs_out (test_set 1),1,AUPRC,0.10414362820071214,twosides-NOSYN,AUPRC
21,leave_drugs_out (test_set 1),1,AUPRC,0.055160596716385873,twosides-NOSYN,AUPRC
22,leave_drugs_out (test_set 1),1,AUPRC,0.22027421586738924,twosides-NOSYN,AUPRC
23,leave_drugs_out (test_set 1),1,AUPRC,0.26328466704275844,twosides-NOSYN,AUPRC
24,leave_drugs_out (test_set 1),2,AUPRC,0.47405095666256636,twosides-NOSYN,AUPRC
25,leave_drugs_out (test_set 1),1,AUPRC,0.15752089781259104,twosides-NOSYN,AUPRC
26,leave_drugs_out (test_set 1),1,AUPRC,0.3588491713791464,twosides-NOSYN,AUPRC
27,leave_drugs_out (test_set 1),1,AUPRC,0.02582134173585805,twosides-NOSYN,AUPRC
28,leave_drugs_out (test_set 1),1,AUPRC,0.06473018313690486,twosides-NOSYN,AUPRC
29,leave_drugs_out (test_set 1),1,AUPRC,0.04833613980891044,twosides-NOSYN,AUPRC
30,leave_drugs_out (test_set 1),1,AUPRC,0.10419686731901984,twosides-NOSYN,AUPRC
31,leave_drugs_out (test_set 1),1,AUPRC,0.12362172517169992,twosides-NOSYN,AUPRC
32,leave_drugs_out (test_set 1),2,AUPRC,0.47018657433712113,twosides-NOSYN,AUPRC
33,leave_drugs_out (test_set 1),1,AUPRC,0.146716860743827,twosides-NOSYN,AUPRC
34,leave_drugs_out (test_set 1),1,AUPRC,0.07906242664832877,twosides-NOSYN,AUPRC
35,leave_drugs_out (test_set 1),1,AUPRC,0.06917253323631706,twosides-NOSYN,AUPRC
36,leave_drugs_out (test_set 1),1,AUPRC,0.06582115624497739,twosides-NOSYN,AUPRC
37,leave_drugs_out (test_set 1),1,AUPRC,0.03955727091065097,twosides-NOSYN,AUPRC
38,leave_drugs_out (test_set 1),1,AUPRC,0.26265406562801924,twosides-NOSYN,AUPRC
39,leave_drugs_out (test_set 1),1,AUPRC,0.29036160912977665,twosides-NOSYN,AUPRC
40,leave_drugs_out (test_set 1),1,AUPRC,0.32957544700742303,twosides-NOSYN,AUPRC
41,leave_drugs_out (test_set 1),1,AUPRC,0.42539951052117875,twosides-NOSYN,AUPRC
42,leave_drugs_out (test_set 1),1,AUPRC,0.13336335367410126,twosides-NOSYN,AUPRC
43,leave_drugs_out (test_set 1),1,AUPRC,0.21828963588207434,twosides-NOSYN,AUPRC
44,leave_drugs_out (test_set 1),1,AUPRC,0.2922298985468912,twosides-NOSYN,AUPRC
45,leave_drugs_out (test_set 1),1,AUPRC,0.2609571663609867,twosides-NOSYN,AUPRC
46,leave_drugs_out (test_set 1),1,AUPRC,0.21296649128248307,twosides-NOSYN,AUPRC
47,leave_drugs_out (test_set 1),2,AUPRC,0.4960699609455078,twosides-NOSYN,AUPRC
48,leave_drugs_out (test_set 1),1,AUPRC,0.038574932025642356,twosides-NOSYN,AUPRC
49,leave_drugs_out (test_set 1),1,AUPRC,0.11616771881042526,twosides-NOSYN,AUPRC
50,leave_drugs_out (test_set 1),1,AUPRC,0.14722517359828144,twosides-NOSYN,AUPRC
51,leave_drugs_out (test_set 1),1,AUPRC,0.05207283151681122,twosides-NOSYN,AUPRC
52,leave_drugs_out (test_set 1),1,AUPRC,0.2716306846668902,twosides-NOSYN,AUPRC
53,leave_drugs_out (test_set 1),1,AUPRC,0.0506546241728454,twosides-NOSYN,AUPRC
54,leave_drugs_out (test_set 1),1,AUPRC,0.2575352312411845,twosides-NOSYN,AUPRC
55,leave_drugs_out (test_set 1),1,AUPRC,0.07026195934226365,twosides-NOSYN,AUPRC
56,leave_drugs_out (test_set 1),1,AUPRC,0.04596484206805763,twosides-NOSYN,AUPRC
57,leave_drugs_out (test_set 1),1,AUPRC,0.16872048860663025,twosides-NOSYN,AUPRC
58,leave_drugs_out (test_set 1),1,AUPRC,0.19551353598693355,twosides-NOSYN,AUPRC
59,leave_drugs_out (test_set 1),1,AUPRC,0.424305302367767,twosides-NOSYN,AUPRC
60,leave_drugs_out (test_set 1),1,AUPRC,0.10187768569115586,twosides-NOSYN,AUPRC
61,leave_drugs_out (test_set 1),1,AUPRC,0.2726841739635853,twosides-NOSYN,AUPRC
62,leave_drugs_out (test_set 1),1,AUPRC,0.028672492219883626,twosides-NOSYN,AUPRC
63,leave_drugs_out (test_set 1),1,AUPRC,0.14465298783993125,twosides-NOSYN,AUPRC
64,leave_drugs_out (test_set 1),1,AUPRC,0.040816770397642206,twosides-NOSYN,AUPRC
65,leave_drugs_out (test_set 1),1,AUPRC,0.1990358549172687,twosides-NOSYN,AUPRC
66,leave_drugs_out (test_set 1),2,AUPRC,0.49344914250472494,twosides-NOSYN,AUPRC
67,leave_drugs_out (test_set 1),1,AUPRC,0.2278836988170767,twosides-NOSYN,AUPRC
68,leave_drugs_out (test_set 1),1,AUPRC,0.22013418013572614,twosides-NOSYN,AUPRC
69,leave_drugs_out (test_set 1),1,AUPRC,0.22950433272893073,twosides-NOSYN,AUPRC
70,leave_drugs_out (test_set 1),3,AUPRC,0.7020061089435418,twosides-NOSYN,AUPRC
71,leave_drugs_out (test_set 1),1,AUPRC,0.2000588139095612,twosides-NOSYN,AUPRC
72,leave_drugs_out (test_set 1),1,AUPRC,0.12659261110629708,twosides-NOSYN,AUPRC
73,leave_drugs_out (test_set 1),1,AUPRC,0.035732434118616443,twosides-NOSYN,AUPRC
74,leave_drugs_out (test_set 1),1,AUPRC,0.17948706853064425,twosides-NOSYN,AUPRC
75,leave_drugs_out (test_set 1),3,AUPRC,0.8713794858361074,twosides-NOSYN,AUPRC
76,leave_drugs_out (test_set 1),1,AUPRC,0.21870360915789944,twosides-NOSYN,AUPRC
77,leave_drugs_out (test_set 1),3,AUPRC,0.7177661090645251,twosides-NOSYN,AUPRC
78,leave_drugs_out (test_set 1),1,AUPRC,0.3245458345649147,twosides-NOSYN,AUPRC
79,leave_drugs_out (test_set 1),2,AUPRC,0.45515331028270384,twosides-NOSYN,AUPRC
80,leave_drugs_out (test_set 1),1,AUPRC,0.4633815977376613,twosides-NOSYN,AUPRC
81,leave_drugs_out (test_set 1),1,AUPRC,0.13367214429814964,twosides-NOSYN,AUPRC
82,leave_drugs_out (test_set 1),1,AUPRC,0.09841942926452522,twosides-NOSYN,AUPRC
83,leave_drugs_out (test_set 1),1,AUPRC,0.21657932650005457,twosides-NOSYN,AUPRC
84,leave_drugs_out (test_set 1),1,AUPRC,0.04738438419502958,twosides-NOSYN,AUPRC
85,leave_drugs_out (test_set 1),1,AUPRC,0.38037899565180366,twosides-NOSYN,AUPRC
86,leave_drugs_out (test_set 1),1,AUPRC,0.038310232458521415,twosides-NOSYN,AUPRC
87,leave_drugs_out (test_set 1),1,AUPRC,0.034087688896824384,twosides-NOSYN,AUPRC
88,leave_drugs_out (test_set 1),1,AUPRC,0.39485825630206917,twosides-NOSYN,AUPRC
89,leave_drugs_out (test_set 1),1,AUPRC,0.037375632645387416,twosides-NOSYN,AUPRC
90,leave_drugs_out (test_set 1),1,AUPRC,0.08679298315395878,twosides-NOSYN,AUPRC
91,leave_drugs_out (test_set 1),1,AUPRC,0.07825987669874795,twosides-NOSYN,AUPRC
92,leave_drugs_out (test_set 1),1,AUPRC,0.11838370067931589,twosides-NOSYN,AUPRC
93,leave_drugs_out (test_set 1),1,AUPRC,0.03493104826508001,twosides-NOSYN,AUPRC
94,leave_drugs_out (test_set 1),2,AUPRC,0.6035712041769669,twosides-NOSYN,AUPRC
95,leave_drugs_out (test_set 1),1,AUPRC,0.30104831620597006,twosides-NOSYN,AUPRC
96,leave_drugs_out (test_set 1),1,AUPRC,0.11246552423735894,twosides-NOSYN,AUPRC
